LIMIT_BAL,AGE,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,UTIL_RATIO,PAY_RATIO,AVG_BILL,AVG_PAY,MAX_DELAY,SCORE,DEFAULT,RISK_BAND,SECTOR,REGION,GST_COMPLIANT,GDP_GROWTH,REPO_RATE,UNEMPLOYMENT,EAD
180000,32,1,1,2,0,0,0,0,0,0,0.8576285687301737,0.048582995951417,144247.66666666666,5939.5,0,456.0,0,Low Risk,Retail & Trade,Central,1,6.5,6.5,7.8,180000
50000,23,1,3,2,0,0,-2,-2,-2,-2,0.0866382672346553,0.0,722.0,0.0,0,415.0,0,Medium Risk,Retail & Trade,West,1,6.5,6.5,7.8,50000
320000,39,2,2,1,0,0,0,0,0,0,0.1197871256652323,0.7826155010043565,50054.0,9116.666666666666,0,478.0,0,Low Risk,Agri & Allied,Central,0,6.5,6.5,7.8,320000
410000,63,1,2,1,0,0,0,0,0,0,1.0472950065975448,0.0352124976420202,364696.0,12252.0,0,485.0,1,Low Risk,Manufacturing,North,1,6.5,6.5,7.8,410000
80000,24,2,1,2,0,0,0,-2,-2,-2,0.3873076586542668,0.461498741367069,12547.5,2383.333333333333,0,436.0,0,Medium Risk,Retail & Trade,South,1,6.5,6.5,7.8,80000
90000,58,1,2,1,0,0,0,0,0,0,1.041510649881668,0.0384049158292261,69831.16666666667,2874.0,0,440.0,0,Medium Risk,Retail & Trade,West,1,6.5,6.5,7.8,90000
100000,55,2,3,1,-2,-2,-2,-2,-2,-2,0.0038999610003899,0.9974424552429668,390.0,390.0,-2,410.0,1,Medium Risk,Retail & Trade,West,0,6.5,6.5,7.8,100000
70000,34,1,2,1,0,0,0,0,0,-1,0.8548592162969101,0.0436148524447712,38758.16666666666,4551.333333333333,0,446.0,0,Medium Risk,Services,South,1,6.5,6.5,7.8,70000
30000,29,2,3,1,-1,-1,-1,0,0,0,0.1162961234625512,4.289111747851003,9761.833333333334,5887.833333333333,0,452.0,0,Low Risk,Manufacturing,West,1,6.5,6.5,7.8,30000
220000,31,1,1,2,-2,-2,-2,-2,-2,-2,0.0224317162194717,0.7690437601296597,3771.3333333333335,3451.1666666666665,-2,461.0,0,Low Risk,Retail & Trade,West,1,6.5,6.5,7.8,220000
80000,57,1,3,1,2,2,2,2,2,2,0.0928863389207634,0.3498385360602798,9702.0,975.0,2,202.0,1,High Risk,Agri & Allied,Central,1,6.5,6.5,7.8,80000
80000,30,1,1,2,0,0,2,2,2,2,0.9567255409307384,0.045858374706036,49292.333333333336,11973.166666666666,2,373.0,0,High Risk,Manufacturing,Central,0,6.5,6.5,7.8,80000
160000,57,1,2,2,-2,-2,-2,-2,-2,-1,0.0,0.0,99.16666666666669,100.16666666666669,-1,411.0,1,Medium Risk,Agri & Allied,South,1,6.5,6.5,7.8,160000
60000,29,2,3,1,0,0,0,0,0,0,0.9864835586073566,0.0371678126742241,42775.66666666666,1766.6666666666667,0,427.0,0,Medium Risk,Manufacturing,North,1,6.5,6.5,7.8,60000
50000,32,1,1,2,2,2,2,2,2,2,0.6111677766444671,0.0654450261780104,32797.833333333336,1583.3333333333333,2,199.0,1,High Risk,Manufacturing,West,0,6.5,6.5,7.8,50000
50000,26,1,2,2,0,0,0,0,0,0,0.9410211795764084,0.0367245446624019,31113.5,1287.5,0,425.0,0,Medium Risk,Construction,North,1,6.5,6.5,7.8,50000
120000,28,2,2,1,0,0,0,0,0,0,0.8639594670044416,0.0316656539058807,84492.0,3547.1666666666665,0,447.0,0,Medium Risk,Construction,South,1,6.5,6.5,7.8,120000
240000,30,1,2,1,0,0,0,0,0,0,0.9486418806588306,0.0439352413078234,194857.16666666663,9421.0,0,456.0,0,Low Risk,Services,South,1,6.5,6.5,7.8,240000
320000,32,1,1,2,-1,-1,-1,0,0,-1,0.0015249952343898,4.705521472392638,7344.0,7772.666666666667,0,464.0,0,Low Risk,Retail & Trade,Central,1,6.5,6.5,7.8,320000
240000,38,2,3,1,0,0,2,0,0,0,0.4464481397994175,0.0886615834025515,112433.16666666669,4392.333333333333,2,396.0,1,Medium Risk,Manufacturing,West,0,6.5,6.5,7.8,240000
240000,27,2,1,2,-2,-2,-2,-2,-2,-2,0.0137207761634326,2.756223436551305,5856.166666666667,5468.166666666667,-2,459.0,0,Low Risk,Agri & Allied,East,1,6.5,6.5,7.8,240000
30000,38,1,2,1,1,2,0,0,0,2,0.8101396620112663,0.0,25172.33333333333,1147.3333333333333,2,296.0,1,High Risk,Retail & Trade,South,1,6.5,6.5,7.8,30000
260000,28,1,2,2,0,0,0,0,0,0,0.9685693516563398,0.0397093277210816,225466.66666666663,8775.0,0,457.0,0,Low Risk,Manufacturing,West,1,6.5,6.5,7.8,260000
120000,26,1,2,2,2,2,2,2,0,0,0.9092424229798084,0.0,110938.66666666669,4956.0,2,243.0,0,High Risk,Retail & Trade,North,0,6.5,6.5,7.8,120000
80000,47,2,2,1,0,0,-1,-1,-2,-2,0.0595242559468006,0.2099517111064455,1661.1666666666667,495.0,0,425.0,0,Medium Risk,Manufacturing,Central,1,6.5,6.5,7.8,80000
70000,55,2,2,2,0,0,0,0,0,0,0.9653004957072042,0.0314326728131058,53805.833333333336,1850.8333333333333,0,418.0,0,Medium Risk,Construction,North,0,6.5,6.5,7.8,70000
110000,51,1,2,2,0,0,0,0,0,0,0.6323942509613549,0.0359376123050384,53843.833333333336,2016.6666666666667,0,418.0,0,Medium Risk,Retail & Trade,South,1,6.5,6.5,7.8,110000
120000,27,1,2,2,0,0,0,0,0,0,0.2445312955725369,0.1721928778326802,26378.666666666668,1830.0,0,444.0,0,Medium Risk,Agri & Allied,South,0,6.5,6.5,7.8,120000
300000,40,2,2,1,-1,-1,-1,-1,-1,-1,0.0099699667667774,0.427139037433155,1594.8333333333333,1777.0,-1,438.0,0,Medium Risk,Retail & Trade,North,1,6.5,6.5,7.8,300000
120000,37,2,2,2,2,2,2,0,0,0,0.3229723085640953,0.1109448371949017,34992.333333333336,4194.0,2,283.0,0,High Risk,Retail & Trade,South,0,6.5,6.5,7.8,120000
280000,37,1,2,1,0,0,0,0,0,-1,0.532951668029757,0.0368898598118315,135187.16666666666,20988.0,0,482.0,0,Low Risk,Retail & Trade,West,1,6.5,6.5,7.8,280000
30000,24,2,2,2,0,0,0,0,2,2,0.6788773707543082,0.0981932443047918,23753.0,2117.0,2,335.0,0,High Risk,Manufacturing,South,0,6.5,6.5,7.8,30000
50000,48,1,3,1,1,-2,-2,-2,-2,-1,0.1259974800503989,0.0,1929.1666666666667,879.1666666666666,1,341.0,0,High Risk,Construction,Central,0,6.5,6.5,7.8,50000
320000,41,2,2,1,-2,-2,-2,-2,-2,-2,0.007984350048906,2.7777777777777777,4864.166666666667,4974.5,-2,457.0,0,Low Risk,Services,West,1,6.5,6.5,7.8,320000
20000,24,2,2,1,4,3,2,2,2,2,0.8274086295685216,0.0,16191.5,683.3333333333334,4,163.0,1,High Risk,Construction,East,0,6.5,6.5,7.8,20000
150000,35,1,2,1,2,2,2,2,2,2,0.9612869247538348,0.0457713512951211,147101.66666666666,5700.0,2,231.0,1,High Risk,Services,South,1,6.5,6.5,7.8,150000
10000,36,1,3,2,-1,-1,-1,-1,0,0,0.0575942405759424,6.948006932409013,4345.833333333333,3066.6666666666665,0,448.0,1,Medium Risk,Agri & Allied,South,0,6.5,6.5,7.8,10000
350000,64,2,3,1,0,0,0,0,0,0,0.0877883206047982,0.0976340026686627,30724.5,2333.333333333333,0,447.0,0,Medium Risk,Construction,Central,1,6.5,6.5,7.8,350000
70000,50,2,2,1,0,0,0,0,0,0,0.183668804731361,0.1189920671955203,15149.5,1515.0,0,437.0,0,Medium Risk,Manufacturing,Central,1,6.5,6.5,7.8,70000
340000,36,2,1,2,0,0,0,-1,0,0,0.2704050870438616,0.0425390748213489,83341.5,18300.5,0,501.0,0,Low Risk,Manufacturing,North,1,6.5,6.5,7.8,340000
380000,42,1,2,1,-2,-2,-2,-2,-2,-2,0.0068105083933989,15.268057164928544,13767.833333333334,14449.5,-2,492.0,0,Low Risk,Manufacturing,North,1,6.5,6.5,7.8,380000
70000,53,2,3,1,2,2,2,2,2,2,0.7750032142397966,0.047924500479245,56281.833333333336,2283.333333333333,2,190.0,1,High Risk,Retail & Trade,North,0,6.5,6.5,7.8,70000
180000,31,1,1,2,-1,-1,-1,-1,-1,-1,0.0050777495680579,0.9912568306010928,911.0,916.3333333333334,-1,432.0,0,Medium Risk,Retail & Trade,Central,1,6.5,6.5,7.8,180000
10000,42,2,3,1,2,0,0,0,0,0,0.8964103589641036,0.1369618559000669,7736.833333333333,1792.3333333333333,2,244.0,1,High Risk,Retail & Trade,North,0,6.5,6.5,7.8,10000
80000,27,1,2,2,1,2,-1,-1,-1,-1,0.046886913913576,0.0005330490405117,2180.333333333333,2256.333333333333,2,336.0,1,High Risk,Services,North,0,6.5,6.5,7.8,80000
290000,30,2,1,2,0,0,0,0,0,-1,0.993213816504081,0.0374400244415589,165917.16666666666,44647.5,0,486.0,0,Low Risk,Retail & Trade,East,1,6.5,6.5,7.8,290000
330000,27,2,2,1,-2,-2,-2,-2,-2,-1,0.0,0.0,372.3333333333333,539.0,-1,418.0,0,Medium Risk,Retail & Trade,North,0,6.5,6.5,7.8,330000
520000,55,1,1,1,-1,-1,-1,-1,-1,-1,0.0044076838313772,2.2795464457043173,11472.333333333334,11940.833333333334,-1,490.0,0,Low Risk,Retail & Trade,South,1,6.5,6.5,7.8,520000
10000,23,1,2,2,0,0,2,0,0,2,0.7885211478852114,0.1901863826550019,8175.5,800.0,2,324.0,1,High Risk,Manufacturing,Central,0,6.5,6.5,7.8,10000
60000,59,2,2,1,4,4,4,5,4,3,0.9084181930301162,0.0733850698075476,57530.16666666666,1600.1666666666667,5,190.0,0,High Risk,Services,West,0,6.5,6.5,7.8,60000
160000,30,2,1,2,0,0,0,0,0,0,0.5403341229117318,0.0347001330171765,68247.16666666667,3000.0,0,459.0,1,Low Risk,Manufacturing,East,1,6.5,6.5,7.8,160000
400000,46,2,3,1,-1,-1,2,0,0,-1,0.000649998375004,230.1302681992337,24926.0,12135.333333333334,2,434.0,1,Medium Risk,Construction,Central,1,6.5,6.5,7.8,400000
60000,36,1,2,1,0,0,0,0,0,0,0.6188063532274463,0.0431457042822515,34819.166666666664,1481.6666666666667,0,420.0,1,Medium Risk,Services,Central,1,6.5,6.5,7.8,60000
260000,26,2,1,2,0,0,0,0,0,0,0.9158041699839616,0.0435427174721033,223222.3333333333,10356.833333333334,0,454.0,0,Low Risk,Manufacturing,South,1,6.5,6.5,7.8,260000
360000,30,2,2,1,0,0,0,0,0,0,0.0583109491362524,0.9526985185538036,43643.5,7166.666666666667,0,482.0,0,Low Risk,Manufacturing,North,1,6.5,6.5,7.8,360000
50000,38,1,3,1,1,5,4,3,2,0,1.02209955800884,0.0,48852.833333333336,611.6666666666666,5,262.0,1,High Risk,Services,South,0,6.5,6.5,7.8,50000
230000,31,1,3,2,0,-1,-1,-1,-1,-1,0.0185260064086677,0.2346316283435007,891.0,666.6666666666666,0,439.0,0,Medium Risk,Services,North,0,6.5,6.5,7.8,230000
30000,43,2,2,1,-1,0,0,0,0,0,0.8388387053764874,0.057098581475742,27783.0,1259.0,0,400.0,0,Medium Risk,Services,North,0,6.5,6.5,7.8,30000
390000,28,2,1,2,0,0,0,-2,-2,-2,0.5185832856838829,0.0494440021953137,67899.66666666667,1666.6666666666667,0,437.0,0,Medium Risk,Services,Central,1,6.5,6.5,7.8,390000
180000,31,2,2,2,0,0,0,0,0,0,0.6231298715007139,0.0162350109214104,62835.833333333336,2153.5,0,428.0,0,Medium Risk,Manufacturing,North,1,6.5,6.5,7.8,180000
220000,30,1,3,1,0,0,0,0,2,0,0.7368375598292735,0.0616880312881694,174198.0,5861.333333333333,2,401.0,1,Medium Risk,Retail & Trade,East,0,6.5,6.5,7.8,220000
150000,48,2,3,1,0,0,-1,-1,-1,-1,0.0648662342251051,0.0,2791.6666666666665,1252.6666666666667,0,441.0,0,Medium Risk,Manufacturing,East,1,6.5,6.5,7.8,150000
60000,43,2,3,1,2,2,-2,-2,-2,-1,0.0783820269662172,0.0,949.1666666666666,2498.6666666666665,2,269.0,1,High Risk,Services,East,1,6.5,6.5,7.8,60000
150000,37,1,2,2,0,0,0,0,0,0,0.4756034959766935,0.0577079420257351,58265.66666666666,4226.666666666667,0,452.0,0,Low Risk,Agri & Allied,Central,1,6.5,6.5,7.8,150000
110000,30,1,2,1,0,0,0,-1,2,2,0.3207516295306406,0.0425121868268903,42336.66666666666,11735.833333333334,2,426.0,0,Medium Risk,Retail & Trade,South,0,6.5,6.5,7.8,110000
30000,45,1,3,2,0,0,0,0,0,0,0.9394686843771874,0.048854041013269,25508.83333333333,1144.8333333333333,0,411.0,0,Medium Risk,Manufacturing,West,1,6.5,6.5,7.8,30000
200000,58,1,1,1,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,-2,410.0,1,Medium Risk,Retail & Trade,North,1,6.5,6.5,7.8,200000
80000,28,1,2,1,-1,-1,-1,-1,-1,-1,0.0048749390632617,0.9974424552429668,465.0,465.0,-1,420.0,1,Medium Risk,Retail & Trade,West,1,6.5,6.5,7.8,80000
270000,44,1,1,1,3,3,4,4,4,4,0.9496335198758524,0.0699835805353291,272185.0,10243.5,4,227.0,0,High Risk,Services,South,0,6.5,6.5,7.8,270000
70000,24,2,3,2,0,0,0,0,0,0,0.9862573391808688,0.0434530706836616,68908.5,3200.0,0,435.0,0,Medium Risk,Agri & Allied,South,0,6.5,6.5,7.8,70000
180000,36,2,1,1,0,0,0,0,0,0,0.0272831817601013,0.4071661237785016,8479.0,1266.6666666666667,0,449.0,0,Medium Risk,Services,Central,1,6.5,6.5,7.8,180000
80000,26,1,2,2,0,0,-1,-1,-1,-1,0.0043749453131835,0.0,95.0,386.6666666666667,0,421.0,0,Medium Risk,Retail & Trade,East,1,6.5,6.5,7.8,80000
60000,36,2,2,2,0,0,0,0,0,0,0.9620506324894584,0.0346470333477696,45755.833333333336,2469.1666666666665,0,423.0,0,Medium Risk,Manufacturing,East,1,6.5,6.5,7.8,60000
280000,23,2,1,2,0,0,0,0,0,0,0.9377787936471657,0.0245753675070454,212054.8333333333,5746.333333333333,0,448.0,0,Medium Risk,Services,South,1,6.5,6.5,7.8,280000
80000,44,2,2,2,0,0,0,0,-1,-1,0.284633942075724,0.0544089232390655,13411.0,4463.833333333333,0,464.0,0,Low Risk,Services,Central,1,6.5,6.5,7.8,80000
120000,38,2,2,1,2,2,2,2,2,2,0.5308289097590854,0.0470950220561686,66622.83333333333,2683.333333333333,2,217.0,1,High Risk,Agri & Allied,Central,0,6.5,6.5,7.8,120000
30000,25,2,2,1,0,0,0,2,2,2,0.9960667977734076,0.0669254450542096,30063.33333333333,1735.5,2,321.0,1,High Risk,Services,North,1,6.5,6.5,7.8,30000
20000,27,1,2,2,1,-1,0,0,0,0,0.0,1133.862499999982,15925.833333333334,3924.0,1,376.0,0,High Risk,Retail & Trade,East,0,6.5,6.5,7.8,20000
20000,24,1,2,2,0,0,0,0,0,0,0.8848057597120144,0.0923268165894451,18350.166666666668,957.3333333333334,0,394.0,0,Medium Risk,Retail & Trade,South,1,6.5,6.5,7.8,20000
60000,31,2,2,2,1,2,0,0,0,2,0.3423942934284428,0.0,21504.5,1116.6666666666667,2,331.0,0,High Risk,Retail & Trade,West,1,6.5,6.5,7.8,60000
100000,27,1,1,2,0,0,2,2,2,2,0.3601363986360136,0.1166180758017492,37021.0,2390.0,2,344.0,1,High Risk,Manufacturing,East,0,6.5,6.5,7.8,100000
130000,28,2,3,1,0,0,0,0,0,0,0.2305674571734063,0.16767306088407,36405.16666666666,7761.333333333333,0,466.0,0,Low Risk,Manufacturing,North,1,6.5,6.5,7.8,130000
280000,56,2,1,1,-2,-1,2,-1,-1,-1,0.0,769.0,1983.8333333333333,2309.0,2,377.0,0,High Risk,Manufacturing,Central,1,6.5,6.5,7.8,280000
120000,34,2,2,1,-1,-1,-1,-1,0,0,0.0027166440279664,1.525993883792049,612.1666666666666,787.6666666666666,0,422.0,0,Medium Risk,Agri & Allied,South,1,6.5,6.5,7.8,120000
150000,48,2,2,3,0,0,0,0,0,-2,0.0240731728455143,0.5537098560354374,3258.0,920.5,0,433.0,0,Medium Risk,Retail & Trade,East,1,6.5,6.5,7.8,150000
150000,37,2,2,2,0,0,0,0,0,0,0.0402597316017893,0.4966887417218543,6169.333333333333,2850.5,0,471.0,0,Low Risk,Retail & Trade,West,1,6.5,6.5,7.8,150000
130000,37,2,3,1,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,-2,405.0,1,Medium Risk,Construction,North,1,6.5,6.5,7.8,130000
140000,49,2,2,1,-1,-1,-2,-2,-2,-1,0.0175498746437525,0.0,506.0,424.5,-1,410.0,0,Medium Risk,Manufacturing,North,1,6.5,6.5,7.8,140000
50000,31,2,2,1,0,0,2,0,0,2,0.8993820123597528,0.0857219096751239,48116.833333333336,2193.6666666666665,2,354.0,1,High Risk,Retail & Trade,East,1,6.5,6.5,7.8,50000
180000,41,1,1,2,0,-1,-1,-1,0,0,0.0909217171015716,1.120486344473636,37806.0,20859.666666666668,0,505.0,0,Low Risk,Services,West,1,6.5,6.5,7.8,180000
150000,25,2,1,2,-1,0,-1,-1,-1,-2,0.1255724961833587,0.1061740192174974,4149.666666666667,691.6666666666666,0,423.0,0,Medium Risk,Manufacturing,North,1,6.5,6.5,7.8,150000
310000,35,2,1,1,-1,-1,-1,-1,-1,-1,0.0058548198231618,2.031387665198238,7456.0,7175.833333333333,-1,464.0,0,Low Risk,Manufacturing,South,1,6.5,6.5,7.8,310000
260000,31,2,2,2,-1,3,2,2,2,0,0.3164372444721366,0.0,87279.5,4384.666666666667,3,378.0,0,High Risk,Retail & Trade,North,1,6.5,6.5,7.8,260000
180000,34,1,1,2,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,-2,419.0,0,Medium Risk,Manufacturing,West,1,6.5,6.5,7.8,180000
20000,38,1,2,2,0,0,0,0,0,0,0.992200389980501,0.0853572508314017,16040.0,1743.3333333333333,0,411.0,0,Medium Risk,Construction,Central,0,6.5,6.5,7.8,20000
120000,45,1,1,1,0,0,0,0,0,0,0.1739735502204148,0.0655714148864833,22881.5,1037.5,0,442.0,0,Medium Risk,Services,Central,0,6.5,6.5,7.8,120000
50000,41,1,2,1,0,0,0,0,0,0,0.7339053218935622,0.2725018393874158,24741.83333333333,2502.0,0,442.0,0,Medium Risk,Agri & Allied,East,0,6.5,6.5,7.8,50000
60000,37,2,2,1,0,0,0,0,0,0,0.9910168163863936,0.0504515412945865,47488.5,1862.0,0,420.0,1,Medium Risk,Services,West,1,6.5,6.5,7.8,60000
150000,36,2,1,2,1,-1,-1,-1,-1,-2,0.0,990.0,204.0,204.0,1,360.0,0,High Risk,Services,North,1,6.5,6.5,7.8,150000
550000,31,1,1,2,1,2,2,-2,-1,-1,0.0318472148232457,0.0,4582.333333333333,2566.833333333333,2,360.0,0,High Risk,Manufacturing,North,0,6.5,6.5,7.8,550000
110000,45,2,2,1,0,0,0,0,0,0,0.9837546931391532,0.04897657441205,73652.83333333333,2828.333333333333,0,442.0,0,Medium Risk,Services,Central,0,6.5,6.5,7.8,110000
140000,42,2,1,1,2,2,2,0,0,0,1.0094285040821136,0.0304269682002802,138094.5,4326.166666666667,2,274.0,1,High Risk,Retail & Trade,Central,1,6.5,6.5,7.8,140000
500000,47,1,1,2,-2,-2,-1,-1,0,-1,0.042751914496171,0.95771155915236,12831.5,9742.166666666666,0,464.0,0,Low Risk,Services,South,1,6.5,6.5,7.8,500000
80000,44,2,3,1,0,0,2,0,0,0,1.0100873739078262,0.0857082750683711,79913.16666666667,3237.6666666666665,2,386.0,0,Medium Risk,Services,Central,1,6.5,6.5,7.8,80000
130000,26,2,2,2,2,0,0,0,0,0,1.0041076607103023,0.0459643316786173,117809.33333333331,4540.333333333333,2,277.0,1,High Risk,Retail & Trade,South,1,6.5,6.5,7.8,130000
50000,24,1,2,2,0,0,0,0,0,0,0.7033059338813223,0.0369664742514289,17113.333333333332,782.0,0,406.0,0,Medium Risk,Manufacturing,North,0,6.5,6.5,7.8,50000
200000,27,2,1,2,0,0,0,0,0,0,0.3128684356578217,0.0364043148222133,62553.833333333336,2160.0,0,457.0,0,Low Risk,Manufacturing,South,1,6.5,6.5,7.8,200000
180000,26,1,1,2,-1,-1,-2,-1,0,0,0.001049994166699,0.0,63696.5,24018.5,0,478.0,0,Low Risk,Retail & Trade,South,1,6.5,6.5,7.8,180000
200000,36,2,2,2,0,0,0,0,0,0,0.9654101729491352,0.0466118373350458,181470.3333333333,8149.833333333333,0,452.0,0,Low Risk,Services,East,1,6.5,6.5,7.8,200000
140000,30,1,3,2,2,2,2,2,2,0,1.0401854272469482,0.0412352020215892,126650.16666666669,3752.3333333333335,2,245.0,0,High Risk,Services,Central,1,6.5,6.5,7.8,140000
80000,25,2,2,2,0,0,2,-1,-1,-1,0.7249159385507681,0.0573670143977929,14736.0,1409.5,2,357.0,0,High Risk,Manufacturing,South,0,6.5,6.5,7.8,80000
360000,45,2,2,2,-2,-1,2,2,-2,-2,0.0,1133.862499999982,833.3333333333334,416.6666666666667,2,356.0,0,High Risk,Retail & Trade,North,0,6.5,6.5,7.8,360000
50000,34,1,3,2,1,2,2,2,2,2,0.6755064898702026,0.0562512952600882,35334.666666666664,1600.0,2,268.0,1,High Risk,Retail & Trade,West,0,6.5,6.5,7.8,50000
80000,32,2,1,1,-1,3,2,-1,0,0,0.0615867301658729,0.0,4024.3333333333335,807.3333333333334,3,366.0,1,High Risk,Manufacturing,South,1,6.5,6.5,7.8,80000
190000,27,2,2,2,0,0,0,0,0,0,0.5112394145293973,0.0454821540710542,101878.0,4580.0,0,454.0,0,Low Risk,Manufacturing,Central,1,6.5,6.5,7.8,190000
280000,35,2,1,2,-1,-1,-1,-1,-1,-1,0.0231927743115203,4.422324865280985,10305.0,11244.166666666666,-1,464.0,0,Low Risk,Retail & Trade,East,1,6.5,6.5,7.8,280000
30000,55,1,3,1,2,2,7,7,7,7,0.0798306723109229,0.0,2395.0,0.0,7,187.0,1,High Risk,Construction,North,0,6.5,6.5,7.8,30000
80000,52,2,2,3,0,0,0,0,0,0,0.789165135435807,0.0330561495208679,55223.5,2117.1666666666665,0,418.0,0,Medium Risk,Retail & Trade,East,1,6.5,6.5,7.8,80000
360000,39,2,2,2,-1,2,2,-2,-2,-2,0.0018194393904461,0.0,218.33333333333331,0.0,2,362.0,0,High Risk,Retail & Trade,West,0,6.5,6.5,7.8,360000
70000,24,2,4,1,0,0,0,-2,-2,-2,0.6808902729961,0.0209801946962067,15855.5,166.66666666666666,0,403.0,0,Medium Risk,Services,South,0,6.5,6.5,7.8,70000
220000,39,1,3,1,0,0,0,0,0,-1,0.8764278344189345,0.1037258318811716,89488.33333333333,19175.0,0,479.0,0,Low Risk,Retail & Trade,South,1,6.5,6.5,7.8,220000
360000,35,1,1,1,-1,-1,-1,-1,-1,-1,0.0331554634570459,1.8415849878528945,10462.333333333334,9632.0,-1,464.0,0,Low Risk,Construction,Central,1,6.5,6.5,7.8,360000
230000,45,2,4,2,0,0,0,0,0,0,0.627853791940035,0.0373940501911251,151307.16666666666,5766.666666666667,0,455.0,0,Low Risk,Construction,South,1,6.5,6.5,7.8,230000
290000,37,1,2,1,-2,-2,-2,-2,-2,-2,0.6893458988072455,0.0400226099483772,189098.0,36391.833333333336,-2,465.0,0,Low Risk,Retail & Trade,North,1,6.5,6.5,7.8,290000
30000,34,2,2,1,2,2,0,0,0,2,0.564781173960868,0.0,18097.33333333333,1033.3333333333333,2,231.0,1,High Risk,Retail & Trade,West,0,6.5,6.5,7.8,30000
240000,40,1,3,2,0,0,0,0,0,0,1.022124907812884,0.0346130641794938,237394.66666666663,45139.5,0,482.0,0,Low Risk,Retail & Trade,East,1,6.5,6.5,7.8,240000
